GENENAME;TYPE;PMID;OMIMGENE;ORIGINALENTRY;OMIMDISEASE
ABCA4;Macular degeneration, age-related, 2;17357067;601691;{Macular degeneration, age-related, 2}, 153800 (3);153800
ABCA4;Retinal dystrophy, early-onset severe;17357067;601691;Retinal dystrophy, early-onset severe, 248200 (3);248200
ABCA4;Retinitis pigmentosa 19;17357067;601691;Retinitis pigmentosa 19, 601718 (3);601718
ABCA4;Stargardt disease 1;17357067;601691;Stargardt disease 1, 248200 (3);248200
ABCB1;Colchicine resistance;17357067;171050;{Colchicine resistance}, 120080 (3);120080
ABCB1;Inflammatory bowel disease 13;17357067;171050;{Inflammatory bowel disease 13}, 612244 (3);612244
ABCB11;Cholestasis, benign recurrent intrahepatic, 2;17357067;603201;Cholestasis, benign recurrent intrahepatic, 2, 605479 (3);605479
ABCB11;Cholestasis, progressive familial intrahepatic 2;17357067;603201;Cholestasis, progressive familial intrahepatic 2, 601847 (3);601847
ABCB4;Cholestasis, intrahepatic, of pregnancy, 3;17357067;171060;Cholestasis, intrahepatic, of pregnancy, 3, 614972 (3);614972
ABCB4;Cholestasis, progressive familial intrahepatic 3;17357067;171060;Cholestasis, progressive familial intrahepatic 3, 602347 (3);602347
ABCB4;Gallbladder disease 1;17357067;171060;Gallbladder disease 1, 600803 (3);600803
ABCB6;Blood group, Langereis system;17357067;605452;[Blood group, Langereis system], 111600 (3);111600
ABCB6;Dyschromatosis universalis hereditaria 3;17357067;605452;Dyschromatosis universalis hereditaria 3, 615402 (3);615402
ABCB6;Microphthalmia, isolated, with coloboma 7;17357067;605452;Microphthalmia, isolated, with coloboma 7, 614497 (3);614497
ABCB7;Anemia, sideroblastic, with ataxia;17357067;300135;Anemia, sideroblastic, with ataxia, 301310 (3);301310
ABCC11;Axillary odor, variation in;17357067;607040;[Axillary odor, variation in], 117800 (3);117800
ABCC11;Colostrum secretion, variation in;17357067;607040;[Colostrum secretion, variation in], 117800 (3);117800
ABCC11;Earwax, wet/dry;17357067;607040;[Earwax, wet/dry], 117800 (3);117800
ABCC2;Dubin-Johnson syndrome;17357067;601107;Dubin-Johnson syndrome, 237500 (3);237500
ABCC6;Arterial calcification, generalized, of infancy, 2;17357067;603234;Arterial calcification, generalized, of infancy, 2, 614473 (3);614473
ABCC6;Pseudoxanthoma elasticum;17357067;603234;Pseudoxanthoma elasticum, 264800 (3);264800
ABCC6;Pseudoxanthoma elasticum, forme fruste;17357067;603234;Pseudoxanthoma elasticum, forme fruste, 177850 (3);177850
ABCC8;Diabetes mellitus, noninsulin-dependent;17357067;600509;Diabetes mellitus, noninsulin-dependent, 125853 (3);125853
ABCC8;Diabetes mellitus, permanent neonatal;17357067;600509;Diabetes mellitus, permanent neonatal, 606176 (3);606176
ABCC8;Diabetes mellitus, permanent neonatal, with neurologic features;17357067;600937;Diabetes mellitus, permanent neonatal, with neurologic features, 606176 (3);606176
ABCC8;Diabetes mellitus, transient neonatal 2;17357067;600509;Diabetes mellitus, transient neonatal 2, 610374 (3);610374
ABCC8;Diabetes mellitus, transient neonatal, 3;17357067;600937;Diabetes mellitus, transient neonatal, 3, 610582 (3);610582
ABCC8;Diabetes mellitus, type 2, susceptibility to;17357067;600937;{Diabetes mellitus, type 2, susceptibility to}, 125853 (3);125853
ABCC8;Diabetes, permanent neonatal;17357067;600937;Diabetes, permanent neonatal, 606176 (3);606176
ABCC8;Hyperinsulinemic hypoglycemia, familial, 1;17357067;600509;Hyperinsulinemic hypoglycemia, familial, 1, 256450 (3);256450
ABCC8;Hyperinsulinemic hypoglycemia, familial, 2;17357067;600937;Hyperinsulinemic hypoglycemia, familial, 2, 601820 (3);601820
ABCC8;Hypoglycemia of infancy, leucine-sensitive;17357067;600509;Hypoglycemia of infancy, leucine-sensitive, 240800 (3);240800
ABCC8;Maturity-onset diabetes of the young, type 13;17357067;600937;Maturity-onset diabetes of the young, type 13, 616329 (3);616329
ABCC9;Atrial fibrillation, familial, 12;17357067;601439;Atrial fibrillation, familial, 12, 614050 (3);614050
ABCC9;Cardiomyopathy, dilated, 1O;17357067;601439;Cardiomyopathy, dilated, 1O, 608569 (3);608569
ABCC9;Hypertrichotic osteochondrodysplasia;17357067;601439;Hypertrichotic osteochondrodysplasia, 239850 (3);239850
ABCD1;Adrenoleukodystrophy;17357067;300371;Adrenoleukodystrophy, 300100 (3);300100
ABCD1;Adrenomyeloneuropathy, adult;17357067;300371;Adrenomyeloneuropathy, adult, 300100 (3);300100
ABCD4;Methylmalonic aciduria and homocystinuria, cblJ type;17357067;603214;Methylmalonic aciduria and homocystinuria, cblJ type, 614857 (3);614857
ABCG2;Junior blood group system;17357067;603756;[Junior blood group system], 614490 (3);614490
ABCG2;Uric acid concentration, serum, QTL1;17357067;603756;[Uric acid concentration, serum, QTL1], 138900 (3);138900
ABCG5;Sitosterolemia;17357067;605459;Sitosterolemia, 210250 (3);210250
ABCG8;Gallbladder disease 4;17357067;605460;Gallbladder disease 4, 611465 (3);611465
ABCG8;Sitosterolemia;17357067;605460;Sitosterolemia, 210250 (3);210250
ABHD12;Polyneuropathy, hearing loss, ataxia, retinitis pigmentosa, and cataract;17357067;613599;Polyneuropathy, hearing loss, ataxia, retinitis pigmentosa, and cataract, 612674 (3);612674
ABHD5;Chanarin-Dorfman syndrome;17357067;604780;Chanarin-Dorfman syndrome, 275630 (3);275630
ABL1;Leukemia, Philadelphia chromosome-positive, resistant to imatinib;17357067;189980;Leukemia, Philadelphia chromosome-positive, resistant to imatinib (3);0
ABL2;Leukemia, acute myeloid, with eosinophilia;17357067;164690;Leukemia, acute myeloid, with eosinophilia (1);0
ABO;Blood group, ABO system;17357067;110300;[Blood group, ABO system], 616093 (3);616093
ACACA;Acetyl-CoA carboxylase deficiency;17357067;200350;Acetyl-CoA carboxylase deficiency, 613933 (1);613933
ACAD8;Isobutyryl-CoA dehydrogenase deficiency;17357067;604773;Isobutyryl-CoA dehydrogenase deficiency, 611283 (3);611283
ACAD9;Mitochondrial complex I deficiency due to ACAD9 deficiency;17357067;611103;Mitochondrial complex I deficiency due to ACAD9 deficiency, 611126 (3);611126
ACADM;Acyl-CoA dehydrogenase, medium chain, deficiency of;17357067;607008;Acyl-CoA dehydrogenase, medium chain, deficiency of, 201450 (3);201450
ACADS;Acyl-CoA dehydrogenase, short-chain, deficiency of;17357067;606885;Acyl-CoA dehydrogenase, short-chain, deficiency of, 201470 (3);201470
ACADSB;2-methylbutyrylglycinuria;17357067;600301;2-methylbutyrylglycinuria, 610006 (3);610006
ACADVL;VLCAD deficiency;17357067;609575;VLCAD deficiency, 201475 (3);201475
ACAN;Osteochondritis dissecans, short stature, and early-onset osteoarthritis;17357067;155760;Osteochondritis dissecans, short stature, and early-onset osteoarthritis, 165800 (3);165800
ACAN;Spondyloepimetaphyseal dysplasia, aggrecan type;17357067;155760;Spondyloepimetaphyseal dysplasia, aggrecan type, 612813 (3);612813
ACAN;Spondyloepiphyseal dysplasia, Kimberley type;17357067;155760;Spondyloepiphyseal dysplasia, Kimberley type, 608361 (3);608361
ACAT1;Alpha-methylacetoacetic aciduria;17357067;607809;Alpha-methylacetoacetic aciduria, 203750 (3);203750
ACE;Alzheimer disease, susceptibility to;17357067;106180;{Alzheimer disease, susceptibility to}, 104300 (3);104300
ACE;Angiotensin I-converting enzyme, benign serum increase;17357067;106180;[Angiotensin I-converting enzyme, benign serum increase] (3);0
ACE;Microvascular complications of diabetes 3;17357067;106180;{Microvascular complications of diabetes 3}, 612624 (3);612624
ACE;Myocardial infarction, susceptibility to;17357067;106180;{Myocardial infarction, susceptibility to} (3);0
ACE;Renal tubular dysgenesis;17357067;106180;Renal tubular dysgenesis, 267430 (3);267430
ACE;SARS, progression of;17357067;106180;{SARS, progression of} (3);0
ACE;Stroke, hemorrhagic;17357067;106180;{Stroke, hemorrhagic}, 614519 (3);614519
ACHE;Blood group, Yt system;17357067;100740;[Blood group, Yt system], 112100 (3);112100
ACKR1;Blood group, Duffy system;17357067;613665;[Blood group, Duffy system], 110700 (3);110700
ACKR1;Malaria, vivax, protection against;17357067;613665;{Malaria, vivax, protection against}, 611162 (3);611162
ACKR1;White blood cell count QTL;17357067;613665;[White blood cell count QTL], 611862 (3);611862
ACKR4;Photoparoxysmal response 1;17357067;132100;Photoparoxysmal response 1 (2);0
ACO2;Infantile cerebellar-retinal degeneration;17357067;100850;Infantile cerebellar-retinal degeneration, 614559 (3);614559
ACOT12;Leukoencephalopathy with vanishing white matter;17357067;603945;Leukoencephalopathy with vanishing white matter, 603896 (3);603896
ACOT12;Ovarioleukodystrophy;17357067;603945;Ovarioleukodystrophy, 603896 (3);603896
ACOX1;Peroxisomal acyl-CoA oxidase deficiency;17357067;609751;Peroxisomal acyl-CoA oxidase deficiency, 264470 (3);264470
ACP5;Spondyloenchondrodysplasia with immune dysregulation;17357067;171640;Spondyloenchondrodysplasia with immune dysregulation, 607944 (3);607944
ACSF3;Combined malonic and methylmalonic aciduria;17357067;614245;Combined malonic and methylmalonic aciduria, 614265 (3);614265
ACSL4;Mental retardation, X-linked 63;17357067;300157;Mental retardation, X-linked 63, 300387 (3);300387
ACSL6;Myelodysplastic syndrome;17357067;604443;Myelodysplastic syndrome (3);0
ACSL6;Myelogenous leukemia, acute;17357067;604443;Myelogenous leukemia, acute (3);0
ACTA1;Myopathy, actin, congenital, with cores;17357067;102610;Myopathy, actin, congenital, with cores, 161800 (3);161800
ACTA1;Myopathy, actin, congenital, with excess of thin myofilaments;17357067;102610;Myopathy, actin, congenital, with excess of thin myofilaments, 161800 (3);161800
ACTA1;Myopathy, congenital, with fiber-type disproportion 1;17357067;102610;Myopathy, congenital, with fiber-type disproportion 1, 255310 (3);255310
ACTA1;Nemaline myopathy 3, autosomal dominant or recessive;17357067;102610;Nemaline myopathy 3, autosomal dominant or recessive, 161800 (3);161800
ACTA2;Aortic aneurysm, familial thoracic 6;17357067;102620;Aortic aneurysm, familial thoracic 6, 611788 (3);611788
ACTA2;Moyamoya disease 5;17357067;102620;Moyamoya disease 5, 614042 (3);614042
ACTA2;Multisystemic smooth muscle dysfunction syndrome;17357067;102620;Multisystemic smooth muscle dysfunction syndrome, 613834 (3);613834
ACTB;Baraitser-Winter syndrome 1;17357067;102630;Baraitser-Winter syndrome 1, 243310 (3);243310
ACTB;Dystonia, juvenile-onset;17357067;102630;Dystonia, juvenile-onset, 607371 (3);607371
ACTC1;Atrial septal defect 5;17357067;102540;Atrial septal defect 5, 612794 (3);612794
ACTC1;Cardiomyopathy, dilated, 1R;17357067;102540;Cardiomyopathy, dilated, 1R, 613424 (3);613424
ACTC1;Cardiomyopathy, hypertrophic, 11;17357067;102540;Cardiomyopathy, hypertrophic, 11, 612098 (3);612098
ACTC1;Left ventricular noncompaction 4;17357067;102540;Left ventricular noncompaction 4, 613424 (3);613424
ACTG1;Baraitser-Winter syndrome 2;17357067;102560;Baraitser-Winter syndrome 2, 614583 (3);614583
ACTG1;Deafness, autosomal dominant 20/26;17357067;102560;Deafness, autosomal dominant 20/26, 604717 (3);604717
ACTG2;Visceral myopathy;17357067;102545;Visceral myopathy, 155310 (3);155310
ACTN1;Bleeding disorder, platelet-type, 15;17357067;102575;Bleeding disorder, platelet-type, 15, 615193 (3);615193
ACTN2;Cardiomyopathy, dilated, 1AA, with or without LVNC;17357067;102573;Cardiomyopathy, dilated, 1AA, with or without LVNC, 612158 (3);612158
ACTN2;Cardiomyopathy, hypertrophic, 23, with or without LVNC;17357067;102573;Cardiomyopathy, hypertrophic, 23, with or without LVNC, 612158 (3);612158
ACTN3;Alpha-actinin-3 deficiency;17357067;102574;[Alpha-actinin-3 deficiency] (3);0
ACTN3;Sprinting performance;17357067;102574;[Sprinting performance] (3);0
ACTN4;Glomerulosclerosis, focal segmental, 1;17357067;604638;Glomerulosclerosis, focal segmental, 1, 603278 (3);603278
ACVR1;Fibrodysplasia ossificans progressiva;17357067;102576;Fibrodysplasia ossificans progressiva, 135100 (3);135100
ACVR1B;Pancreatic cancer, somatic;17357067;601300;Pancreatic cancer, somatic (3);0
ACVR2B;Heterotaxy, visceral, 4, autosomal;17357067;602730;Heterotaxy, visceral, 4, autosomal, 613751 (3);613751
ACVRL1;Telangiectasia, hereditary hemorrhagic, type 2;17357067;601284;Telangiectasia, hereditary hemorrhagic, type 2, 600376 (3);600376
ACY1;Aminoacylase 1 deficiency;17357067;104620;Aminoacylase 1 deficiency, 609924 (3);609924
ADA;Adenosine deaminase deficiency, partial;17357067;608958;Adenosine deaminase deficiency, partial, 102700 (3);102700
ADA;Severe combined immunodeficiency due to ADA deficiency;17357067;608958;Severe combined immunodeficiency due to ADA deficiency, 102700 (3);102700
ADAM10;Alzheimer disease 18, susceptibility to;17357067;602192;{Alzheimer disease 18, susceptibility to}, 615590 (3);615590
ADAM10;Reticulate acropigmentation of Kitamura;17357067;602192;Reticulate acropigmentation of Kitamura, 615537 (3);615537
ADAM8;Multiple sclerosis, susceptibility to, 2;17357067;612594;{Multiple sclerosis, susceptibility to, 2} (2);0
ADAM9;Cone-rod dystrophy 9;17357067;602713;Cone-rod dystrophy 9, 612775 (3);612775
ADAMTS10;Weill-Marchesani syndrome 1, recessive;17357067;608990;Weill-Marchesani syndrome 1, recessive, 277600 (3);277600
ADAMTS13;Thrombotic thrombocytopenic purpura, familial;17357067;604134;Thrombotic thrombocytopenic purpura, familial, 274150 (3);274150
ADAMTS17;Weill-Marchesani-like syndrome;17357067;607511;Weill-Marchesani-like syndrome, 613195 (3);613195
ADAMTS18;Microcornea, myopic chorioretinal atrophy, and telecanthus;17357067;607512;Microcornea, myopic chorioretinal atrophy, and telecanthus, 615458 (3);615458
ADAMTS2;Ehlers-Danlos syndrome, type VIIC;17357067;604539;Ehlers-Danlos syndrome, type VIIC, 225410 (3);225410
ADAMTSL2;Geleophysic dysplasia 1;17357067;612277;Geleophysic dysplasia 1, 231050 (3);231050
ADAMTSL4;Ectopia lentis et pupillae;17357067;610113;Ectopia lentis et pupillae, 225200 (3);225200
ADAMTSL4;Ectopia lentis, isolated, autosomal recessive;17357067;610113;Ectopia lentis, isolated, autosomal recessive, 225100 (3);225100
ADAR;Aicardi-Goutieres syndrome 6;17357067;146920;Aicardi-Goutieres syndrome 6, 615010 (3);615010
ADAR;Dyschromatosis symmetrica hereditaria;17357067;146920;Dyschromatosis symmetrica hereditaria, 127400 (3);127400
ADAT3;Mental retardation, autosomal recessive 36;17357067;615302;Mental retardation, autosomal recessive 36, 615286 (3);615286
ADCK3;Coenzyme Q10 deficiency, primary, 4;17357067;606980;Coenzyme Q10 deficiency, primary, 4, 612016 (3);612016
ADCK4;Nephrotic syndrome, type 9;17357067;615567;Nephrotic syndrome, type 9, 615573 (3);615573
ADCY10;Hypercalciuria, absorptive, susceptibility to;17357067;605205;{Hypercalciuria, absorptive, susceptibility to}, 143870 (3);143870
ADCY5;Dyskinesia, familial, with facial myokymia;17357067;600293;Dyskinesia, familial, with facial myokymia, 606703 (3);606703
ADD1;Hypertension, essential, salt-sensitive;17357067;102680;{Hypertension, essential, salt-sensitive}, 145500 (3);145500
ADH1B;Aerodigestive tract cancer, squamous cell, alcohol-related, protection against;17357067;103720;{Aerodigestive tract cancer, squamous cell, alcohol-related, protection against} (3);0
ADH1B;Alcohol dependence, protection against;17357067;103720;{Alcohol dependence, protection against}, 103780 (3);103780
ADH1C;Alcohol dependence, protection against;17357067;103730;{Alcohol dependence, protection against}, 103780 (3);103780
ADH1C;Parkinson disease, susceptibility to;17357067;103730;{Parkinson disease, susceptibility to}, 168600 (3);168600
ADIPOQ;Adiponectin deficiency;17357067;605441;Adiponectin deficiency, 612556 (3);612556
ADK;Hypermethioninemia due to adenosine kinase deficiency;17357067;102750;Hypermethioninemia due to adenosine kinase deficiency, 614300 (3);614300
ADNP;Helsmoortel-van der Aa syndrome;17357067;611386;Helsmoortel-van der Aa syndrome, 615873 (3);615873
ADRA2B;Epilepsy, myoclonic, familial adult, 2;17357067;104260;Epilepsy, myoclonic, familial adult, 2, 607876 (3);607876
ADRA2C;Congestive heart failure and beta-blocker response, modifier of;17357067;104250;{Congestive heart failure and beta-blocker response, modifier of} (3);0
ADRB1;Congestive heart failure and beta-blocker response, modifier of;17357067;109630;{Congestive heart failure and beta-blocker response, modifier of} (3);0
ADRB1;Resting heart rate;17357067;109630;[Resting heart rate], 607276 (3);607276
ADRB2;Asthma, nocturnal, susceptibility to;17357067;109690;{Asthma, nocturnal, susceptibility to}, 600807 (3);600807
ADRB2;Beta-2-adrenoreceptor agonist, reduced response to;17357067;109690;Beta-2-adrenoreceptor agonist, reduced response to (3);0
ADRB2;Obesity, susceptibility to;17357067;109690;{Obesity, susceptibility to}, 601665 (3);601665
ADRB3;Obesity, susceptibility to;17357067;109691;{Obesity, susceptibility to}, 601665 (3);601665
ADSL;Adenylosuccinase deficiency;17357067;608222;Adenylosuccinase deficiency, 103050 (3);103050
AFF2;Mental retardation, X-linked, FRAXE type;17357067;300806;Mental retardation, X-linked, FRAXE type, 309548 (3);309548
AFF4;CHOPS syndrome;17357067;604417;CHOPS syndrome, 616368 (3);616368
AFG3L2;Ataxia, spastic, 5, autosomal recessive;17357067;604581;Ataxia, spastic, 5, autosomal recessive, 614487 (3);614487
AFG3L2;Spinocerebellar ataxia 28;17357067;604581;Spinocerebellar ataxia 28, 610246 (3);610246
AFP;Alpha-fetoprotein deficiency;17357067;104150;Alpha-fetoprotein deficiency, 615969 (3);615969
AFP;Hereditary persistence of alpha-fetoprotein;17357067;104150;[Hereditary persistence of alpha-fetoprotein], 615970 (3);615970
AGA;Aspartylglucosaminuria;17357067;613228;Aspartylglucosaminuria, 208400 (3);208400
AGBL1;Corneal dystrophy, Fuchs endothelial, 8;17357067;615496;Corneal dystrophy, Fuchs endothelial, 8, 615523 (3);615523
AGK;Cataract 38, autosomal recessive;17357067;610345;Cataract 38, autosomal recessive, 614691 (3);614691
AGK;Sengers syndrome;17357067;610345;Sengers syndrome, 212350 (3);212350
AGL;Glycogen storage disease IIIa;17357067;610860;Glycogen storage disease IIIa, 232400 (3);232400
AGL;Glycogen storage disease IIIb;17357067;610860;Glycogen storage disease IIIb, 232400 (3);232400
AGPAT2;Lipodystrophy, congenital generalized, type 1;17357067;603100;Lipodystrophy, congenital generalized, type 1, 608594 (3);608594
AGPS;Chondrodysplasia punctata, rhizomelic, type 3;17357067;603051;Chondrodysplasia punctata, rhizomelic, type 3, 600121 (3);600121
AGRN;Myasthenic syndrome, congenital, 8, with pre- and postsynaptic defects;17357067;103320;Myasthenic syndrome, congenital, 8, with pre- and postsynaptic defects, 615120 (3);615120
AGRP;Leanness, inherited;17357067;602311;{Leanness, inherited} (3);0
AGRP;Obesity, late-onset;17357067;602311;{Obesity, late-onset}, 601665 (3);601665
AGT;Hypertension, essential, susceptibility to;17357067;106150;{Hypertension, essential, susceptibility to}, 145500 (3);145500
AGT;Preeclampsia, susceptibility to;17357067;106150;{Preeclampsia, susceptibility to} (3);0
AGT;Renal tubular dysgenesis;17357067;106150;Renal tubular dysgenesis, 267430 (3);267430
AGTR1;Hypertension, essential;17357067;106165;{Hypertension, essential}, 145500 (3);145500
AGTR1;Renal tubular dysgenesis;17357067;106165;Renal tubular dysgenesis, 267430 (3);267430
AGTR2;Mental retardation, X-linked 88;17357067;300852;Mental retardation, X-linked 88 (2);0
AGXT;Hyperoxaluria, primary, type 1;17357067;604285;Hyperoxaluria, primary, type 1, 259900 (3);259900
AHCY;Hypermethioninemia with deficiency of S-adenosylhomocysteine hydrolase;17357067;180960;Hypermethioninemia with deficiency of S-adenosylhomocysteine hydrolase, 613752 (3);613752
AHDC1;Xia-Gibbs syndrome;17357067;615790;Xia-Gibbs syndrome, 615829 (3);615829
AHI1;Joubert syndrome-3;17357067;608894;Joubert syndrome-3, 608629 (3);608629
AICDA;Immunodeficiency with hyper-IgM, type 2;17357067;605257;Immunodeficiency with hyper-IgM, type 2, 605258 (3);605258
AIFM1;Combined oxidative phosphorylation deficiency 6;17357067;300169;Combined oxidative phosphorylation deficiency 6, 300816 (3);300816
AIFM1;Cowchock syndrome;17357067;300169;Cowchock syndrome, 310490 (3);310490
AIM1;Albinism, oculocutaneous, type IV;17357067;606202;Albinism, oculocutaneous, type IV, 606574 (3);606574
AIM1;Skin/hair/eye pigmentation 5, black/nonblack hair;17357067;606202;[Skin/hair/eye pigmentation 5, black/nonblack hair], 227240 (3);227240
AIM1;Skin/hair/eye pigmentation 5, dark/fair skin;17357067;606202;[Skin/hair/eye pigmentation 5, dark/fair skin], 227240 (3);227240
AIM1;Skin/hair/eye pigmentation 5, dark/light eyes;17357067;606202;[Skin/hair/eye pigmentation 5, dark/light eyes], 227240 (3);227240
AIMP1;Leukodystrophy, hypomyelinating, 3;17357067;603605;Leukodystrophy, hypomyelinating, 3, 260600 (3);260600
AIP;Pituitary adenoma, ACTH-secreting;17357067;605555;Pituitary adenoma, ACTH-secreting, 219090 (3);219090
AIP;Pituitary adenoma, growth hormone-secreting;17357067;605555;Pituitary adenoma, growth hormone-secreting, 102200 (3);102200
AIP;Pituitary adenoma, prolactin-secreting;17357067;605555;Pituitary adenoma, prolactin-secreting, 600634 (3);600634
AIPL1;Cone-rod dystrophy;17357067;604392;Cone-rod dystrophy, 604393 (3);604393
AIPL1;Leber congenital amaurosis 4;17357067;604392;Leber congenital amaurosis 4, 604393 (3);604393
AIPL1;Retinitis pigmentosa, juvenile;17357067;604392;Retinitis pigmentosa, juvenile, 604393 (3);604393
AIRE;Autoimmune polyendocrinopathy syndrome , type I, with or without reversible metaphyseal dysplasia;17357067;607358;Autoimmune polyendocrinopathy syndrome , type I, with or without reversible metaphyseal dysplasia, 240300 (3);240300
AIRN;Acute insulin response;17357067;601676;Acute insulin response (2);0
AK1;Hemolytic anemia due to adenylate kinase deficiency;17357067;103000;Hemolytic anemia due to adenylate kinase deficiency, 612631 (3);612631
AK2;Reticular dysgenesis;17357067;103020;Reticular dysgenesis, 267500 (3);267500
AKAP10;Cardiac conduction defect, susceptibility to;17357067;604694;{Cardiac conduction defect, susceptibility to}, 115080 (3);115080
AKR1C1;Developmental dysplasia of the hip 1;17357067;142700;Developmental dysplasia of the hip 1 (2);0
AKR1C2;46XY sex reversal 8;17357067;600450;46XY sex reversal 8, 614279 (3);614279
AKR1C2;Developmental dysplasia of the hip 2;17357067;615612;Developmental dysplasia of the hip 2 (2);0
AKR1C2;Obesity, hyperphagia, and developmental delay;17357067;600450;Obesity, hyperphagia, and developmental delay (3);0
AKR1C4;46XY sex reversal 8, modifier of;17357067;600451;{46XY sex reversal 8, modifier of}, 614279 (3);614279
AKR1D1;Bile acid synthesis defect, congenital, 2;17357067;604741;Bile acid synthesis defect, congenital, 2, 235555 (3);235555
AKT1;Breast cancer, somatic;17357067;164730;Breast cancer, somatic, 114480 (3);114480
AKT1;Colorectal cancer, somatic;17357067;164730;Colorectal cancer, somatic, 114500 (3);114500
AKT1;Cowden syndrome 6;17357067;164730;Cowden syndrome 6, 615109 (3);615109
AKT1;Ovarian cancer, somatic;17357067;164730;Ovarian cancer, somatic, 167000 (3);167000
AKT1;Proteus syndrome, somatic;17357067;164730;Proteus syndrome, somatic, 176920 (3);176920
AKT1;Schizophrenia, susceptibility to;17357067;164730;{Schizophrenia, susceptibility to}, 181500 (2);181500
AKT2;Diabetes mellitus, type II;17357067;164731;Diabetes mellitus, type II, 125853 (3);125853
AKT2;Hypoinsulinemic hypoglycemia with hemihypertrophy;17357067;164731;Hypoinsulinemic hypoglycemia with hemihypertrophy, 240900 (3);240900
AKT3;Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 2;17357067;611223;Megalencephaly-polymicrogyria-polydactyly-hydrocephalus syndrome 2, 615937 (3);615937
ALAD;Lead poisoning, susceptibility to;17357067;125270;{Lead poisoning, susceptibility to}, 612740 (3);612740
ALAD;Porphyria, acute hepatic;17357067;125270;Porphyria, acute hepatic, 612740 (3);612740
ALAS2;Anemia, sideroblastic, X-linked;17357067;301300;Anemia, sideroblastic, X-linked, 300751 (3);300751
ALAS2;Protoporphyria, erythropoietic, X-linked;17357067;301300;Protoporphyria, erythropoietic, X-linked, 300752 (3);300752
ALB;Analbuminemia;17357067;103600;Analbuminemia, 616000 (3);616000
ALB;Dysalbuminemic hyperthyroxinemia;17357067;103600;[Dysalbuminemic hyperthyroxinemia], 615999 (3);615999
ALDH18A1;Cutis laxa, autosomal recessive, type IIIA;17357067;138250;Cutis laxa, autosomal recessive, type IIIA, 219150 (3);219150
ALDH1A3;Microphthalmia, isolated 8;17357067;600463;Microphthalmia, isolated 8, 615113 (3);615113
ALDH2;Alcohol sensitivity, acute;17357067;100650;Alcohol sensitivity, acute, 610251 (3);610251
ALDH2;Esophageal cancer, alcohol-related, susceptibility to;17357067;100650;{Esophageal cancer, alcohol-related, susceptibility to} (3);0
