## mouse.knockout
## Mouse knockout phenotypes from JAX
## hg19, source=gm.jax created=28JUN2011:04:21:45
## PGC bioinformatics, PF Sullivan & Johan Kallberg, Karolinska Institutet, (c) 2016
## Rows: 5 comments, header, 6228 entries. Columns: 6
#chr	bp1	bp2	geneName	musName	phenotype
chr7	87133175	87342611	ABCB1	Abcb1a	"behavior/neurological;cardiovascular system;hearing/vestibular/ear;hematopoietic system;homeostasis/metabolism;immune system;liver/biliary system;mortality/aging;nervous system;no phenotypic analysis;reproductive system"
chr2	169779448	169887832	ABCB11	Abcb11	"growth/size;homeostasis/metabolism;liver/biliary system"
chr7	87031013	87109751	ABCB4	Abcb4	"cardiovascular system;digestive/alimentary;endocrine/exocrine gland;homeostasis/metabolism;immune system;liver/biliary system;reproductive system;tumorigenesis"
chrX	74273115	74376567	ABCB7	Abcb7	"cardiovascular system;cellular;embryogenesis;growth/size;homeostasis/metabolism;liver/biliary system;mortality/aging;nervous system;other"
chr16	16043434	16236931	ABCC1	Abcc1	"hematopoietic system;homeostasis/metabolism;immune system;mortality/aging"
chr16	48116884	48189929	ABCC12	Abcc12	"no phenotypic analysis"
chr10	101542489	101611949	ABCC2	Abcc2	"hematopoietic system;homeostasis/metabolism;liver/biliary system;renal/urinary system"
chr17	48712138	48769613	ABCC3	Abcc3	"behavior/neurological;homeostasis/metabolism;integument;liver/biliary system"
chr13	95672083	95953687	ABCC4	Abcc4	"behavior/neurological;cardiovascular system;digestive/alimentary;growth/size;hematopoietic system;homeostasis/metabolism;immune system;integument;mortality/aging;nervous system;no phenotypic analysis;renal/urinary system"
chr3	183637722	183735803	ABCC5	Abcc5	"cellular"
chr16	16242785	16317379	ABCC6	Abcc6	"cardiovascular system;homeostasis/metabolism;integument;other;renal/urinary system;vision/eye"
chr11	17414432	17498449	ABCC8	Abcc8	"endocrine/exocrine gland;homeostasis/metabolism;no phenotypic analysis"
chr12	21950335	22094336	ABCC9	Abcc9	"cardiovascular system;growth/size;homeostasis/metabolism;mortality/aging;muscle"
chrX	152990323	153010216	ABCD1	Abcd1	"behavior/neurological;endocrine/exocrine gland;hematopoietic system;homeostasis/metabolism;immune system;nervous system;normal;reproductive system"
chr12	39943835	40013553	ABCD2	Abcd2	"behavior/neurological;endocrine/exocrine gland;hematopoietic system;homeostasis/metabolism;immune system;nervous system"
chr21	43619799	43717354	ABCG1	Abcg1	"adipose tissue;behavior/neurological;cellular;growth/size;hematopoietic system;homeostasis/metabolism;immune system;liver/biliary system;no phenotypic analysis;renal/urinary system;respiratory system"
chr4	89011416	89152474	ABCG2	Abcg2	"hematopoietic system;homeostasis/metabolism;integument;liver/biliary system;no phenotypic analysis"
chr11	119019722	119033360	ABCG4	Abcg4	"cellular;homeostasis/metabolism"
chr2	44039611	44066004	ABCG5	Abcg5	"behavior/neurological;cardiovascular system;digestive/alimentary;growth/size;hematopoietic system;homeostasis/metabolism;immune system;liver/biliary system;mortality/aging;muscle;reproductive system"
chr2	44066103	44105605	ABCG8	Abcg8	"digestive/alimentary;hematopoietic system;homeostasis/metabolism;liver/biliary system"
chr15	89630690	89745591	ABHD2	Abhd2	"cardiovascular system;cellular;homeostasis/metabolism"
chr10	27035522	27150016	ABI1	Abi1	"cardiovascular system;cellular;embryogenesis;growth/size;hematopoietic system;homeostasis/metabolism;immune system;mortality/aging"
chr2	204192942	204312446	ABI2	Abi2	"behavior/neurological;cellular;hematopoietic system;immune system;nervous system;vision/eye"
chr9	133589333	133763062	ABL1	Abl1	"behavior/neurological;cardiovascular system;cellular;craniofacial;digestive/alimentary;embryogenesis;growth/size;hematopoietic system;homeostasis/metabolism;immune system;liver/biliary system;mortality/aging;muscle;nervous system;normal;respiratory system;skeleton;vision/eye"
chr1	179068462	179198819	ABL2	Abl2	"behavior/neurological;cardiovascular system;cellular;embryogenesis;growth/size;hearing/vestibular/ear;homeostasis/metabolism;mortality/aging;nervous system;reproductive system"
chr10	116190872	116444762	ABLIM1	Ablim1	"normal"
chr17	906758	1132315	ABR	Abr	"behavior/neurological;hearing/vestibular/ear;mortality/aging;nervous system;normal"
chr8	107771711	107782473	ABRA	Abra	"cardiovascular system;homeostasis/metabolism"
chr17	35441923	35766909	ACACA	Acaca	"embryogenesis;growth/size;homeostasis/metabolism;liver/biliary system;mortality/aging"
chr12	109554400	109706031	ACACB	Acacb	"adipose tissue;behavior/neurological;cardiovascular system;cellular;growth/size;homeostasis/metabolism;muscle;normal"
chr2	211052663	211090215	ACADL	Acadl	"cardiovascular system;homeostasis/metabolism;liver/biliary system;mortality/aging;renal/urinary system;reproductive system"
chr1	76190036	76253260	ACADM	Acadm	"cardiovascular system;homeostasis/metabolism;liver/biliary system;mortality/aging;muscle"
chr12	121163538	121177811	ACADS	Acads	"behavior/neurological;homeostasis/metabolism;integument;liver/biliary system;mortality/aging;renal/urinary system"
chr17	7120444	7128592	ACADVL	Acadvl	"adipose tissue;behavior/neurological;cardiovascular system;cellular;growth/size;homeostasis/metabolism;liver/biliary system;mortality/aging;muscle;tumorigenesis"
chr15	89346674	89418585	ACAN	Acan	"behavior/neurological;craniofacial;digestive/alimentary;growth/size;hearing/vestibular/ear;homeostasis/metabolism;immune system;limbs/digits/tail;liver/biliary system;mortality/aging;nervous system;normal;respiratory system;skeleton"
chr16	67691415	67694713	ACD	Acd	"craniofacial;endocrine/exocrine gland;hearing/vestibular/ear;homeostasis/metabolism;integument;limbs/digits/tail;mortality/aging;pigmentation;renal/urinary system;reproductive system"
chr17	61554422	61599205	ACE	Ace	"adipose tissue;behavior/neurological;cardiovascular system;cellular;endocrine/exocrine gland;growth/size;hematopoietic system;homeostasis/metabolism;immune system;liver/biliary system;mortality/aging;renal/urinary system;reproductive system;tumorigenesis"
chrX	15579156	15620271	ACE2	Ace2	"cardiovascular system;cellular;homeostasis/metabolism;mortality/aging;muscle;renal/urinary system;respiratory system"
chr7	100487615	100494594	ACHE	Ache	"adipose tissue;behavior/neurological;craniofacial;growth/size;hearing/vestibular/ear;hematopoietic system;homeostasis/metabolism;mortality/aging;muscle;nervous system;no phenotypic analysis;reproductive system;respiratory system;vision/eye"
chr17	40023161	40086795	ACLY	Acly	"homeostasis/metabolism;mortality/aging"
chr9	32384618	32454767	ACO1	Aco1	"homeostasis/metabolism;mortality/aging;normal"
chr17	73937588	73975515	ACOX1	Acox1	"endocrine/exocrine gland;growth/size;homeostasis/metabolism;liver/biliary system;reproductive system;tumorigenesis"
chr11	47260853	47270457	ACP2	Acp2	"behavior/neurological;cellular;growth/size;hematopoietic system;immune system;integument;nervous system;renal/urinary system;skeleton"
chr19	11685475	11689823	ACP5	Acp5	"immune system;limbs/digits/tail;skeleton"
chr22	51176624	51183762	ACR	Acr	"normal;reproductive system"
chr12	6747241	6756626	ACRBP	Acrbp	"reproductive system"
chr15	78459810	78538030	ACSBG1	Acsbg1	"endocrine/exocrine gland;homeostasis/metabolism;reproductive system"
chr4	185676749	185747972	ACSL1	Acsl1	"adipose tissue;growth/size;homeostasis/metabolism"
chrX	108867473	108976632	ACSL4	Acsl4	"endocrine/exocrine gland;homeostasis/metabolism;normal;reproductive system"
chr16	20621565	20808903	ACSM3	Acsm3	"normal"
chr12	7456880	7481320	ACSM4	Acsm4	"behavior/neurological;nervous system;taste/olfaction"
chr20	24986868	25039616	ACSS1	Acss1	"behavior/neurological;cellular;growth/size;homeostasis/metabolism;mortality/aging"
chr1	229566992	229569845	ACTA1	Acta1	"adipose tissue;growth/size;homeostasis/metabolism;mortality/aging;muscle;skeleton"
chr10	90694831	90751147	ACTA2	Acta2	"cardiovascular system;muscle;vision/eye"
chr7	5566782	5603415	ACTB	Actb	"adipose tissue;behavior/neurological;cardiovascular system;embryogenesis;endocrine/exocrine gland;growth/size;hearing/vestibular/ear;homeostasis/metabolism;liver/biliary system;mortality/aging;muscle;nervous system;no phenotypic analysis;reproductive system;tumorigenesis;vision/eye"
chr15	35080297	35088340	ACTC1	Actc1	"cardiovascular system;growth/size;homeostasis/metabolism;mortality/aging;muscle;normal"
chr17	79476997	79490873	ACTG1	Actg1	"behavior/neurological;digestive/alimentary;growth/size;hearing/vestibular/ear;mortality/aging;muscle;nervous system"
chr7	100240720	100254084	ACTL6B	Actl6b	"behavior/neurological;mortality/aging;nervous system"
chr11	66313866	66330800	ACTN3	Actn3	"homeostasis/metabolism;muscle"
chr19	39138289	39222223	ACTN4	Actn4	"growth/size;homeostasis/metabolism;mortality/aging;renal/urinary system"
chr2	114647537	114720173	ACTR3	Actr3	"embryogenesis;mortality/aging"
chr2	158592958	158732374	ACVR1	Acvr1	"behavior/neurological;cardiovascular system;craniofacial;digestive/alimentary;embryogenesis;growth/size;hearing/vestibular/ear;mortality/aging;nervous system;skeleton"
chr12	52345451	52390862	ACVR1B	Acvr1b	"cellular;craniofacial;embryogenesis;mortality/aging;nervous system;respiratory system"
chr2	158383279	158485517	ACVR1C	Acvr1c	"mortality/aging;normal"
chr2	148602086	148688393	ACVR2A	Acvr2a	"cardiovascular system;craniofacial;digestive/alimentary;embryogenesis;endocrine/exocrine gland;growth/size;homeostasis/metabolism;mortality/aging;nervous system;reproductive system;respiratory system;skeleton;vision/eye"
chr3	38495342	38534633	ACVR2B	Acvr2b	"cardiovascular system;embryogenesis;growth/size;hematopoietic system;homeostasis/metabolism;immune system;liver/biliary system;mortality/aging;renal/urinary system;respiratory system;skeleton"
chr12	52300692	52317145	ACVRL1	Acvrl1	"cardiovascular system;craniofacial;digestive/alimentary;embryogenesis;growth/size;hematopoietic system;liver/biliary system;mortality/aging;muscle;normal;respiratory system"
chr20	43248163	43280874	ADA	Ada	"cellular;growth/size;hematopoietic system;homeostasis/metabolism;immune system;liver/biliary system;mortality/aging;normal;renal/urinary system;reproductive system;respiratory system;skeleton"
chr4	123300121	123350957	ADAD1	Adad1	"reproductive system"
chr15	58887403	59042177	ADAM10	Adam10	"cardiovascular system;craniofacial;embryogenesis;growth/size;hematopoietic system;homeostasis/metabolism;immune system;mortality/aging;nervous system;normal"
chr17	42836399	42859214	ADAM11	Adam11	"behavior/neurological"
chr10	127700950	128077024	ADAM12	Adam12	"adipose tissue;cardiovascular system;mortality/aging;muscle;vision/eye"
chr1	155023042	155035252	ADAM15	Adam15	"cardiovascular system;mortality/aging;tumorigenesis;vision/eye"
chr2	9628615	9695921	ADAM17	Adam17	"cardiovascular system;digestive/alimentary;embryogenesis;endocrine/exocrine gland;growth/size;hematopoietic system;homeostasis/metabolism;immune system;integument;limbs/digits/tail;mortality/aging;muscle;normal;pigmentation;reproductive system;respiratory system;skeleton;vision/eye"
chr5	156822542	157002783	ADAM19	Adam19	"cardiovascular system;endocrine/exocrine gland;homeostasis/metabolism;mortality/aging;muscle;skeleton"
chr8	39601254	39695808	ADAM2	Adam2	"reproductive system"
chr14	70918874	70926622	ADAM21	Adam21	"normal"
chr7	87563458	87832204	ADAM22	Adam22	"behavior/neurological;growth/size;limbs/digits/tail;mortality/aging;nervous system"
chr2	207308263	207485851	ADAM23	Adam23	"behavior/neurological;mortality/aging"
chr8	17327027	17329127	ADAM24P	Adam24	"reproductive system"
chr20	3648612	3662893	ADAM33	Adam33	"no phenotypic analysis;normal"
chr8	39308564	39380371	ADAM3A	Adam3	"reproductive system"
chr10	135075907	135090372	ADAM8	Adam8	"immune system;normal;skeleton"
chr8	38854388	38962663	ADAM9	Adam9	"cardiovascular system;mortality/aging;normal;vision/eye"
chr21	28208066	28217728	ADAMTS1	Adamts1	"adipose tissue;endocrine/exocrine gland;growth/size;homeostasis/metabolism;mortality/aging;renal/urinary system;reproductive system"
chr5	33523640	33892297	ADAMTS12	Adamts12	"cardiovascular system;tumorigenesis"
chr9	136279478	136324508	ADAMTS13	Adamts13	"hematopoietic system;homeostasis/metabolism;immune system;mortality/aging;no phenotypic analysis;normal"
chr5	178537852	178772431	ADAMTS2	Adamts2	"craniofacial;integument;reproductive system;respiratory system;skeleton"
chr12	43747669	43945724	ADAMTS20	Adamts20	"embryogenesis;integument;limbs/digits/tail;mortality/aging;nervous system;pigmentation"
chr1	161154098	161168846	ADAMTS4	Adamts4	"behavior/neurological;nervous system;no phenotypic analysis;normal;skeleton"
chr21	28290231	28338832	ADAMTS5	Adamts5	"immune system;limbs/digits/tail;normal;reproductive system;skeleton"
chr3	64501333	64673676	ADAMTS9	Adamts9	"embryogenesis;integument;limbs/digits/tail;mortality/aging;nervous system;pigmentation"
chr1	154554538	154600475	ADAR	Adar	"cardiovascular system;cellular;embryogenesis;growth/size;hematopoietic system;homeostasis/metabolism;immune system;liver/biliary system;mortality/aging"
chr21	46493768	46646478	ADARB1	Adarb1	"behavior/neurological;growth/size;mortality/aging;muscle;nervous system;no phenotypic analysis;normal"
chr7	45613739	45762715	ADCY1	Adcy1	"behavior/neurological;homeostasis/metabolism;integument;nervous system"
chr1	167778625	167883453	ADCY10	Adcy10	"cardiovascular system;homeostasis/metabolism;reproductive system"
chr2	25042038	25142708	ADCY3	Adcy3	"growth/size;mortality/aging;nervous system;normal;reproductive system;taste/olfaction"
chr14	24787555	24804299	ADCY4	Adcy4	"normal"
chr3	123001143	123168605	ADCY5	Adcy5	"behavior/neurological;homeostasis/metabolism"
chr12	49159975	49182820	ADCY6	Adcy6	"behavior/neurological;cardiovascular system;homeostasis/metabolism;muscle;renal/urinary system"
chr16	50280048	50352046	ADCY7	Adcy7	"behavior/neurological;mortality/aging"
chr8	131792547	132054672	ADCY8	Adcy8	"behavior/neurological;growth/size;homeostasis/metabolism;integument;nervous system;taste/olfaction"
chr16	4003388	4166186	ADCY9	Adcy9	"immune system"
chr18	904944	912173	ADCYAP1	Adcyap1	"adipose tissue;behavior/neurological;embryogenesis;growth/size;homeostasis/metabolism;liver/biliary system;mortality/aging;muscle;nervous system;reproductive system"
chr7	31092076	31151089	ADCYAP1R1	Adcyap1r1	"behavior/neurological;growth/size;homeostasis/metabolism;immune system;mortality/aging;nervous system;normal;reproductive system"
chr4	2845584	2931803	ADD1	Add1	"growth/size;hematopoietic system;homeostasis/metabolism;mortality/aging;nervous system"
chr2	70834750	70995357	ADD2	Add2	"behavior/neurological;cardiovascular system;hematopoietic system;homeostasis/metabolism;immune system;liver/biliary system;nervous system;renal/urinary system"
chr10	111756126	111895323	ADD3	Add3	"cardiovascular system;hematopoietic system;no phenotypic analysis;normal"
chr4	100257649	100274184	ADH1C	Adh1	"growth/size;homeostasis/metabolism;mortality/aging"
chr4	99992132	100009952	ADH5	Adh5	"cardiovascular system;homeostasis/metabolism;immune system;mortality/aging"
chr4	100333418	100356894	ADH7	Adh7	"behavior/neurological;growth/size;homeostasis/metabolism;mortality/aging;nervous system;taste/olfaction"
chr3	186560463	186576252	ADIPOQ	Adipoq	"adipose tissue;behavior/neurological;cardiovascular system;cellular;endocrine/exocrine gland;growth/size;hematopoietic system;homeostasis/metabolism;immune system;integument;liver/biliary system;mortality/aging;muscle;renal/urinary system;reproductive system;respiratory system;tumorigenesis"
chr1	202909951	202927700	ADIPOR1	Adipor1	"adipose tissue;behavior/neurological;cellular;growth/size;homeostasis/metabolism;liver/biliary system;muscle;normal"
chr12	1797740	1897844	ADIPOR2	Adipor2	"adipose tissue;behavior/neurological;endocrine/exocrine gland;growth/size;homeostasis/metabolism;liver/biliary system;nervous system;reproductive system"
chr10	75910960	76469061	ADK	Adk	"growth/size;homeostasis/metabolism;liver/biliary system;mortality/aging;respiratory system;vision/eye"
chr11	10326227	10328944	ADM	Adm	"behavior/neurological;cardiovascular system;cellular;embryogenesis;homeostasis/metabolism;immune system;mortality/aging;muscle;other;renal/urinary system;respiratory system"
chr20	49505585	49547958	ADNP	Adnp	"embryogenesis;mortality/aging;nervous system"
chr1	203059782	203136533	ADORA1	Adora1	"behavior/neurological;cardiovascular system;homeostasis/metabolism;integument;nervous system;normal;renal/urinary system;respiratory system"
chr22	24813847	24838328	ADORA2A	Adora2a	"behavior/neurological;cardiovascular system;growth/size;hematopoietic system;homeostasis/metabolism;immune system;integument;nervous system;vision/eye"
chr17	15848231	15879060	ADORA2B	Adora2b	"cardiovascular system;homeostasis/metabolism;immune system;mortality/aging;reproductive system"
chr1	112025970	112106584	ADORA3	Adora3	"behavior/neurological;cardiovascular system;homeostasis/metabolism;immune system;integument;no phenotypic analysis;renal/urinary system;vision/eye"
chr3	119298115	119308792	ADPRH	Adprh	"immune system"
chr8	26605667	26724790	ADRA1A	Adra1a	"cardiovascular system;homeostasis/metabolism;mortality/aging;muscle;renal/urinary system"
chr5	159343790	159399551	ADRA1B	Adra1b	"adipose tissue;behavior/neurological;cardiovascular system;endocrine/exocrine gland;growth/size;homeostasis/metabolism;mortality/aging;muscle;nervous system;renal/urinary system;reproductive system"
chr20	4201329	4229721	ADRA1D	Adra1d	"behavior/neurological;cardiovascular system;hearing/vestibular/ear;muscle;nervous system"
chr10	112836790	112840658	ADRA2A	Adra2a	"cardiovascular system;embryogenesis;homeostasis/metabolism;mortality/aging;nervous system;normal"
chr2	96778707	96781984	ADRA2B	Adra2b	"behavior/neurological;cardiovascular system;embryogenesis;homeostasis/metabolism;mortality/aging;muscle;renal/urinary system;reproductive system"
chr4	3768075	3770251	ADRA2C	Adra2c	"behavior/neurological;cardiovascular system;embryogenesis;hearing/vestibular/ear;homeostasis/metabolism;mortality/aging;nervous system"
chr10	115803806	115806667	ADRB1	Adrb1	"adipose tissue;cardiovascular system;endocrine/exocrine gland;growth/size;homeostasis/metabolism;mortality/aging;muscle;no phenotypic analysis;skeleton"
chr5	148206156	148208196	ADRB2	Adrb2	"adipose tissue;behavior/neurological;cardiovascular system;endocrine/exocrine gland;growth/size;hematopoietic system;homeostasis/metabolism;immune system;muscle;no phenotypic analysis;skeleton"
chr8	37820516	37824483	ADRB3	Adrb3	"adipose tissue;behavior/neurological;endocrine/exocrine gland;growth/size;homeostasis/metabolism"
chr11	67033881	67054027	ADRBK1	Adrbk1	"cardiovascular system;embryogenesis;growth/size;homeostasis/metabolism;integument;mortality/aging;muscle;normal"
chr22	25960816	26125261	ADRBK2	Adrbk2	"taste/olfaction"
chr20	60877149	60883918	ADRM1	Adrm1	"adipose tissue;behavior/neurological;endocrine/exocrine gland;growth/size;hematopoietic system;homeostasis/metabolism;immune system;mortality/aging;reproductive system"
chr7	44143960	44154161	AEBP1	Aebp1	"adipose tissue;behavior/neurological;cellular;digestive/alimentary;endocrine/exocrine gland;growth/size;homeostasis/metabolism;integument;limbs/digits/tail;liver/biliary system;mortality/aging;reproductive system"
chr19	3052908	3063105	AES	Aes	"behavior/neurological;craniofacial;endocrine/exocrine gland;growth/size;limbs/digits/tail;mortality/aging;nervous system;reproductive system;skeleton;tumorigenesis"
chr4	87856154	88062206	AFF1	Aff1	"behavior/neurological;growth/size;hematopoietic system;immune system;mortality/aging;nervous system;no phenotypic analysis;reproductive system;vision/eye"
chrX	147582139	148082193	AFF2	Aff2	"behavior/neurological;growth/size;integument;mortality/aging;nervous system"
chr5	132211071	132299326	AFF4	Aff4	"behavior/neurological;embryogenesis;endocrine/exocrine gland;growth/size;hematopoietic system;mortality/aging;reproductive system;respiratory system"
chr18	12328943	12377313	AFG3L2	Afg3l2	"behavior/neurological;cellular;growth/size;liver/biliary system;mortality/aging;muscle;nervous system"
chr17	76183398	76203782	AFMID	Afmid	"mortality/aging"
chr4	74296855	74321891	AFP	Afp	"behavior/neurological;endocrine/exocrine gland;homeostasis/metabolism;mortality/aging;reproductive system;tumorigenesis"
chr4	178351924	178363657	AGA	Aga	"behavior/neurological;cellular;growth/size;homeostasis/metabolism;integument;liver/biliary system;mortality/aging;nervous system;renal/urinary system"
chr12	58118980	58135940	AGAP2	Agap2	"endocrine/exocrine gland;integument;no phenotypic analysis;reproductive system"
chr6	32148745	32152101	AGER	Ager	"behavior/neurological;cardiovascular system;cellular;growth/size;hematopoietic system;homeostasis/metabolism;immune system;integument;muscle;no phenotypic analysis;normal;renal/urinary system;skeleton"
chr2	228336868	228425930	AGFG1	Agfg1	"reproductive system"
chr9	139567595	139581875	AGPAT2	Agpat2	"adipose tissue;behavior/neurological;digestive/alimentary;endocrine/exocrine gland;hematopoietic system;homeostasis/metabolism;immune system;liver/biliary system;mortality/aging;renal/urinary system"
chr8	6565878	6617184	AGPAT5	Agpat5	"liver/biliary system"
chr8	41434706	41482520	AGPAT6	Agpat6	"endocrine/exocrine gland;integument;reproductive system"
chr7	16831435	16873057	AGR2	Agr2	"digestive/alimentary;endocrine/exocrine gland;hematopoietic system;immune system"
chr1	955503	991496	AGRN	Agrn	"behavior/neurological;mortality/aging;muscle;nervous system;normal;renal/urinary system;respiratory system"
chr16	67516474	67517716	AGRP	Agrp	"adipose tissue;behavior/neurological;growth/size;homeostasis/metabolism;mortality/aging;nervous system;no phenotypic analysis;normal"
chr1	230838269	230850043	AGT	Agt	"adipose tissue;behavior/neurological;cardiovascular system;growth/size;homeostasis/metabolism;liver/biliary system;mortality/aging;muscle;nervous system;renal/urinary system;reproductive system"
chr9	88161455	88356944	AGTPBP1	Agtpbp1	"behavior/neurological;growth/size;hearing/vestibular/ear;muscle;nervous system;reproductive system;vision/eye"
chr3	148415571	148460795	AGTR1	Agtr1a	"behavior/neurological;cardiovascular system;growth/size;hematopoietic system;homeostasis/metabolism;immune system;mortality/aging;nervous system;renal/urinary system"
chrX	115301975	115306225	AGTR2	Agtr2	"adipose tissue;behavior/neurological;cardiovascular system;digestive/alimentary;endocrine/exocrine gland;growth/size;hearing/vestibular/ear;homeostasis/metabolism;integument;mortality/aging;muscle;nervous system;renal/urinary system;skeleton;tumorigenesis"
chr2	241807896	241819919	AGXT	Agxt	"homeostasis/metabolism;other;renal/urinary system"
chr1	247002400	247095280	AHCTF1	Ahctf1	"embryogenesis;mortality/aging"
chr6	135604670	135818914	AHI1	Ahi1	"behavior/neurological;cellular;growth/size;homeostasis/metabolism;immune system;mortality/aging;nervous system;other;renal/urinary system;vision/eye"
chr11	62201016	62323707	AHNAK	Ahnak	"adipose tissue;growth/size;hematopoietic system;homeostasis/metabolism;immune system;normal"
chr7	17338246	17385776	AHR	Ahr	"cardiovascular system;digestive/alimentary;endocrine/exocrine gland;growth/size;hematopoietic system;homeostasis/metabolism;immune system;integument;liver/biliary system;mortality/aging;muscle;no phenotypic analysis;renal/urinary system;reproductive system;respiratory system;tumorigenesis;vision/eye"
chr5	304291	438406	AHRR	Ahrr	"tumorigenesis"
chr3	186330712	186339107	AHSG	Ahsg	"growth/size;homeostasis/metabolism;muscle"
chr12	8754762	8765467	AICDA	Aicda	"cellular;digestive/alimentary;hematopoietic system;immune system;integument;mortality/aging;no phenotypic analysis;tumorigenesis"
chrX	129263337	129299861	AIFM1	Aifm1	"behavior/neurological;cardiovascular system;cellular;embryogenesis;growth/size;homeostasis/metabolism;integument;mortality/aging;muscle;nervous system;vision/eye"
chr10	71857979	71892690	AIFM2	Aifm2	"cellular;tumorigenesis"
chr1	159032274	159116886	AIM2	Aim2	"hematopoietic system;homeostasis/metabolism;immune system"
chr4	107236701	107270383	AIMP1	Aimp1	"homeostasis/metabolism;immune system"
chr7	6048876	6063465	AIMP2	Aimp2	"mortality/aging"
chr11	67250512	67258574	AIP	Aip	"cardiovascular system;embryogenesis;endocrine/exocrine gland;growth/size;homeostasis/metabolism;integument;liver/biliary system;mortality/aging;tumorigenesis"
chr17	6297013	6338519	AIPL1	Aipl1	"nervous system;vision/eye"
chr21	45705721	45718531	AIRE	Aire	"behavior/neurological;digestive/alimentary;endocrine/exocrine gland;growth/size;hematopoietic system;immune system;liver/biliary system;mortality/aging;nervous system;no phenotypic analysis;reproductive system;respiratory system;vision/eye"
chr6	160424323	160428696	AIRN	Airn	"cellular;growth/size"
chr9	130628759	130640022	AK1	Ak1	"cardiovascular system;cellular;homeostasis/metabolism;muscle"
chr17	55162453	55198710	AKAP1	Akap1	"reproductive system"
chr17	19807615	19881656	AKAP10	Akap10	"cardiovascular system;mortality/aging;nervous system"
chr6	151561134	151679692	AKAP12	Akap12	"normal"
chrX	49955406	49965664	AKAP4	Akap4	"reproductive system"
chr14	64932217	64941221	AKAP5	Akap5	"behavior/neurological;nervous system;no phenotypic analysis"
chr14	32798479	33300567	AKAP6	Akap6	"craniofacial;growth/size;mortality/aging"
chr19	15464196	15490609	AKAP8	Akap8	"craniofacial;digestive/alimentary;homeostasis/metabolism;mortality/aging;normal;respiratory system"
chr1	39456895	39471731	AKIRIN1	Akirin1	"no phenotypic analysis;normal"
chr6	88384790	88411927	AKIRIN2	Akirin2	"mortality/aging;no phenotypic analysis"
chr7	134127102	134144036	AKR1B1	Akr1b3	"behavior/neurological;growth/size;homeostasis/metabolism;renal/urinary system;vision/eye"
chr10	5077546	5149878	AKR1C3	Akr1c18	"behavior/neurological;hematopoietic system;homeostasis/metabolism;reproductive system"
chr14	105235686	105262088	AKT1	Akt1	"adipose tissue;behavior/neurological;cardiovascular system;cellular;embryogenesis;endocrine/exocrine gland;growth/size;hematopoietic system;homeostasis/metabolism;immune system;integument;liver/biliary system;mortality/aging;muscle;nervous system;normal;reproductive system;respiratory system;skeleton;tumorigenesis"
chr19	40736224	40791443	AKT2	Akt2	"adipose tissue;endocrine/exocrine gland;growth/size;hematopoietic system;homeostasis/metabolism;immune system;integument;liver/biliary system;mortality/aging;muscle;nervous system;no phenotypic analysis;normal;reproductive system;respiratory system;skeleton;tumorigenesis"
chr1	243651535	244014381	AKT3	Akt3	"behavior/neurological;endocrine/exocrine gland;growth/size;hematopoietic system;homeostasis/metabolism;immune system;mortality/aging;nervous system;normal;reproductive system;tumorigenesis"
chr3	52232102	52248343	ALAS1	Alas1	"embryogenesis;growth/size;mortality/aging"
