## id.devdelay.genes
## ID genes from OMIM, HUGO, multiple reviews; DD genes from DECIPHER
## hg19, source=gm.id_devdelay created=10JUL2015:19:02:49
## PGC bioinformatics, PF Sullivan & Johan Kallberg, Karolinska Institutet, (c) 2016
## Rows: 5 comments, header, 1518 entries. Columns: 5
#chr	bp1	bp2	geneName	type
chr17	19551449	19580911	ALDH3A2	"intellectual disability // developmental delay"
chr1	19197926	19229275	ALDH4A1	"intellectual disability // developmental delay"
chr6	24495080	24537435	ALDH5A1	"intellectual disability // developmental delay"
chr5	125877533	125931110	ALDH7A1	"developmental delay"
chr16	30064411	30081778	ALDOA	"intellectual disability // developmental delay"
chr9	104182860	104198105	ALDOB	"developmental delay"
chr16	5083703	5137380	ALG1	"developmental delay"
chr13	52586534	52603800	ALG11	"developmental delay"
chr22	50293877	50312106	ALG12	"intellectual disability // developmental delay"
chrX	110909043	111003877	ALG13	"developmental delay"
chr9	101978708	101984238	ALG2	"intellectual disability // developmental delay"
chr3	183960089	183967336	ALG3	"intellectual disability // developmental delay"
chr1	63833261	63904233	ALG6	"intellectual disability // developmental delay"
chr11	77811982	77850706	ALG8	"developmental delay"
chr11	111652919	111742305	ALG9	"developmental delay"
chr2	73612886	73837920	ALMS1	"developmental delay"
chr1	21835858	21904905	ALPL	"developmental delay"
chr12	85673885	85695562	ALX1	"developmental delay"
chr1	110602616	110613322	ALX3	"developmental delay"
chr11	44281994	44331716	ALX4	"developmental delay"
chrX	63404997	63425624	AMER1	"developmental delay"
chr1	110158726	110174673	AMPD2	"developmental delay"
chr3	49454211	49460186	AMT	"intellectual disability // developmental delay"
chr5	14704910	14871887	ANKH	"developmental delay"
chr16	89334038	89556969	ANKRD11	"developmental delay"
chr10	27280843	27389421	ANKRD26	"developmental delay"
chr11	22214722	22304903	ANO5	"developmental delay"
chr2	69240310	69476459	ANTXR1	"developmental delay"
chrX	15843929	15873054	AP1S2	"intellectual disability // developmental delay"
chr1	114437370	114447823	AP4B1	"developmental delay"
chr15	51200869	51298097	AP4E1	"intellectual disability // developmental delay"
chr7	99699172	99707968	AP4M1	"intellectual disability // developmental delay"
chr14	31494312	31562818	AP4S1	"developmental delay"
chr14	104029299	104073860	APOPT1	"developmental delay"
chr9	32972604	33025166	APTX	"developmental delay"
chrX	66764465	66950461	AR	"developmental delay"
chr20	47538427	47653230	ARFGEF2	"intellectual disability // developmental delay"
chr6	131894284	131905472	ARG1	"intellectual disability // developmental delay"
chr3	119013220	119139561	ARHGAP31	"developmental delay"
chrX	135747706	135864247	ARHGEF6	"intellectual disability // developmental delay"
chrX	62854847	63005426	ARHGEF9	"intellectual disability // developmental delay"
chr1	27022524	27108595	ARID1A	"intellectual disability // developmental delay"
chr6	157099063	157531913	ARID1B	"intellectual disability // developmental delay"
chr15	72766667	72879692	ARIH1	"intellectual disability"
chr11	30344598	30359774	ARL14EP	"intellectual disability // developmental delay"
chr3	97483365	97519953	ARL6	"developmental delay"
chr10	28064115	28287977	ARMC4	"developmental delay"
chr22	51061182	51066607	ARSA	"intellectual disability // developmental delay"
chr5	78073032	78281910	ARSB	"developmental delay"
chrX	2852699	2886286	ARSE	"developmental delay"
chrX	25021811	25034065	ARX	"intellectual disability // developmental delay"
chr8	17913934	17942494	ASAH1	"intellectual disability // developmental delay"
chr6	100956070	101329248	ASCC3	"intellectual disability // developmental delay"
chr12	103351464	103354294	ASCL1	"intellectual disability // developmental delay"
chr1	155305059	155532598	ASH1L	"intellectual disability // developmental delay"
chr7	65540785	65558545	ASL	"intellectual disability // developmental delay"
chr17	3375668	3406713	ASPA	"intellectual disability // developmental delay"
chr8	62413116	62627155	ASPH	"developmental delay"
chr1	197053258	197115824	ASPM	"intellectual disability // developmental delay"
chr9	133320316	133376661	ASS1	"intellectual disability // developmental delay"
chr20	30946155	31027122	ASXL1	"developmental delay"
chr18	31158579	31331156	ASXL3	"developmental delay"
chr2	216176540	216214487	ATIC	"developmental delay"
chr11	108093211	108239829	ATM	"developmental delay"
chr12	7033626	7051484	ATN1	"intellectual disability"
chr10	69990386	69991871	ATOH7	"developmental delay"
chr1	17312453	17338423	ATP13A2	"developmental delay"
chr19	42470734	42501649	ATP1A3	"developmental delay"
chr12	110718561	110788898	ATP2A2	"intellectual disability"
chrX	40440146	40465889	ATP6AP2	"intellectual disability // developmental delay"
chr2	71163012	71192536	ATP6V1B1	"developmental delay"
chrX	77166194	77305892	ATP7A	"intellectual disability // developmental delay"
chr18	55313658	55470333	ATP8B1	"developmental delay"
chr3	142168077	142297668	ATR	"intellectual disability // developmental delay"
chrX	76760356	77041702	ATRX	"intellectual disability // developmental delay"
chr9	93976097	94124195	AUH	"developmental delay"
chr7	69063905	70258054	AUTS2	"intellectual disability // developmental delay"
chrX	153167985	153172620	AVPR2	"intellectual disability"
chr16	337440	402673	AXIN1	"developmental delay"
chr1	235613238	235667781	B3GALNT2	"developmental delay"
chr1	1167629	1170421	B3GALT6	"developmental delay"
chr9	33104080	33167354	B4GALT1	"intellectual disability"
chr5	177027101	177037348	B4GALT7	"intellectual disability // developmental delay"
chr11	65769550	65771620	BANF1	"developmental delay"
chr11	66278077	66301098	BBS1	"intellectual disability // developmental delay"
chr12	76738254	76742222	BBS10	"developmental delay"
chr4	123653857	123666098	BBS12	"developmental delay"
chr16	56500748	56554195	BBS2	"intellectual disability // developmental delay"
chr15	72978527	73030817	BBS4	"intellectual disability // developmental delay"
chr2	170335688	170382432	BBS5	"developmental delay"
chr4	122745595	122791652	BBS7	"intellectual disability // developmental delay"
chr7	33168856	33645680	BBS9	"developmental delay"
chrX	152965947	152990152	BCAP31	"developmental delay"
chr19	41884215	41930910	BCKDHA	"intellectual disability // developmental delay"
chr6	80816364	81055987	BCKDHB	"intellectual disability // developmental delay"
chr2	60678302	60780702	BCL11A	"developmental delay"
chrX	39909068	40036582	BCOR	"intellectual disability // developmental delay"
chr2	219523487	219528166	BCS1L	"intellectual disability // developmental delay"
chr3	133118839	133194066	BFSP2	"developmental delay"
chr9	95473645	95527094	BICD2	"developmental delay"
chr2	127805603	127864931	BIN1	"developmental delay"
chr15	91260558	91358859	BLM	"developmental delay"
chr15	45879321	45908197	BLOC1S6	"developmental delay"
chr14	54416454	54425479	BMP4	"developmental delay"
chr7	33944523	34195484	BMPER	"developmental delay"
chr4	95679119	96079599	BMPR1B	"developmental delay"
chr2	74362525	74375121	BOLA3	"developmental delay"
chr20	31619454	31631853	BPIFB6	"developmental delay"
chr7	140419127	140624564	BRAF	"intellectual disability // developmental delay"
chr7	2577511	2595361	BRAT1	"developmental delay"
chr17	41196312	41277500	BRCA1	"developmental delay"
chr13	32889611	32973805	BRCA2	"developmental delay"
chr17	59758627	59940882	BRIP1	"developmental delay"
chrX	79926353	80065187	BRWD3	"intellectual disability // developmental delay"
chr11	62457747	62477317	BSCL2	"intellectual disability"
chr1	55464606	55476556	BSND	"intellectual disability // developmental delay"
chr3	15642848	15687329	BTD	"intellectual disability // developmental delay"
chr15	40453224	40513337	BUB1B	"developmental delay"
chr12	7052141	7055166	C12orf57	"intellectual disability // developmental delay"
chr12	123717463	123742506	C12orf65	"developmental delay"
chr21	33964389	33985176	C21orf59	"developmental delay"
chr11	73723763	73882255	C2CD3	"developmental delay"
chr2	29283842	29297127	C2orf71	"developmental delay"
chr4	76481258	76491095	C4orf26	"developmental delay"
chr5	37106330	37249530	C5orf42	"developmental delay"
chr8	96257147	96281429	C8orf37	"developmental delay"
chr8	86376081	86393722	CA2	"intellectual disability // developmental delay"
chr16	87921625	87970135	CA5A	"developmental delay"
chr8	61099906	61193971	CA8	"intellectual disability // developmental delay"
chr11	67286383	67290899	CABP2	"developmental delay"
chr19	13317256	13734804	CACNA1A	"developmental delay"
chr12	2079952	2802108	CACNA1C	"developmental delay"
chr3	53528683	53847760	CACNA1D	"developmental delay"
chr17	48638429	48704835	CACNA1G	"intellectual disability // developmental delay"
chr22	36959968	37099603	CACNG2	"intellectual disability"
chr10	75572259	75634343	CAMK2G	"intellectual disability"
chr1	6845384	7829766	CAMTA1	"intellectual disability // developmental delay"
chr2	241526133	241557122	CAPN10	"intellectual disability // developmental delay"
chr11	34073230	34122703	CAPRIN1	"developmental delay"
chr17	78143791	78183130	CARD14	"developmental delay"
chrX	41374187	41782716	CASK	"intellectual disability // developmental delay"
chr7	142985308	143004789	CASP2	"intellectual disability // developmental delay"
chr7	116164839	116201233	CAV1	"developmental delay"
chr11	119076752	119178859	CBL	"developmental delay"
chr21	44473301	44497053	CBS	"intellectual disability // developmental delay"
chr19	14017014	14041692	CC2D1A	"intellectual disability // developmental delay"
chr4	15471489	15603180	CC2D2A	"developmental delay"
chr18	57098172	57364612	CCBE1	"developmental delay"
chr17	42976510	42982758	CCDC103	"developmental delay"
chr19	48799714	48825151	CCDC114	"developmental delay"
chr19	11531272	11546603	CCDC151	"developmental delay"
chrX	49091927	49106987	CCDC22	"developmental delay"
chr3	180320646	180588793	CCDC39	"developmental delay"
chr17	78010435	78074412	CCDC40	"developmental delay"
chr12	49297893	49325623	CCDC65	"developmental delay"
chr16	772582	776954	CCDC78	"developmental delay"
chr19	46913629	46916841	CCDC8	"developmental delay"
chr4	122737599	122745087	CCNA2	"intellectual disability // developmental delay"
chr12	4382938	4414516	CCND2	"developmental delay"
chr5	54526980	54529508	CCNO	"developmental delay"
chr11	832843	839831	CD151	"developmental delay"
chr3	111011566	111384597	CD96	"developmental delay"
chr17	38443885	38459171	CDC6	"developmental delay"
chr16	89238175	89261900	CDH15	"intellectual disability // developmental delay"
chr10	73156691	73575702	CDH23	"developmental delay"
chr16	68670092	68756519	CDH3	"intellectual disability // developmental delay"
chr9	123151147	123342448	CDK5RAP2	"developmental delay"
chr13	26828276	26979375	CDK8	"intellectual disability"
chrX	18443703	18671749	CDKL5	"intellectual disability // developmental delay"
chr11	2904443	2907111	CDKN1C	"developmental delay"
chr11	125825691	125933230	CDON	"developmental delay"
chr16	88869621	88875666	CDT1	"developmental delay"
chr13	25457171	25497018	CENPJ	"developmental delay"
chr4	56815037	56899529	CEP135	"developmental delay"
chr15	49005125	49103343	CEP152	"developmental delay"
chr12	88442793	88535993	CEP290	"developmental delay"
chr7	130033612	130082274	CEP41	"developmental delay"
chr11	95523129	95565857	CEP57	"developmental delay"
chr3	134204585	134293859	CEP63	"developmental delay"
chr2	131350339	131357123	CFC1	"developmental delay"
chr14	35179593	35184029	CFL2	"developmental delay"
chr13	115079988	115092796	CHAMP1	"developmental delay"
chr15	93426526	93571237	CHD2	"intellectual disability // developmental delay"
chr8	61591337	61779465	CHD7	"intellectual disability // developmental delay"
chr14	21853353	21924285	CHD8	"developmental delay"
chrX	85116185	85302566	CHM	"developmental delay"
chr16	89710839	89724253	CHMP1A	"developmental delay"
chrX	109917084	110039286	CHRDL1	"developmental delay"
chr2	175612320	175629200	CHRNA1	"developmental delay"
chr20	61975420	62009753	CHRNA4	"developmental delay"
chr1	154540257	154552502	CHRNB2	"developmental delay"
chr15	40763160	40765353	CHST14	"developmental delay"
chr10	73724123	73773322	CHST3	"developmental delay"
chr15	101715928	101792137	CHSY1	"developmental delay"
chr10	101948055	101989376	CHUK	"developmental delay"
chr15	78396948	78423886	CIB2	"developmental delay"
chr19	42772689	42799949	CIC	"developmental delay"
chr16	69165194	69265033	CIRH1A	"developmental delay"
chr4	103790135	103810399	CISD2	"developmental delay"
chr2	113493930	113522254	CKAP2L	"developmental delay"
chrX	10125024	10205700	CLCN4	"developmental delay"
chr16	1494935	1525581	CLCN7	"developmental delay"
chr1	16345370	16360545	CLCNKA	"developmental delay"
chr1	16370272	16383803	CLCNKB	"intellectual disability // developmental delay"
chr21	37832919	37948867	CLDN14	"developmental delay"
chr1	43198764	43205925	CLDN19	"developmental delay"
chr16	28477983	28506896	CLN3	"intellectual disability // developmental delay"
chr13	77564795	77576652	CLN5	"intellectual disability // developmental delay"
chr15	68499330	68549549	CLN6	"intellectual disability // developmental delay"
chr8	1703944	1734738	CLN8	"intellectual disability // developmental delay"
chr11	57416465	57429340	CLP1	"developmental delay"
chr19	6361463	6368919	CLPP	"developmental delay"
chr1	26503894	26516377	CNKSR1	"intellectual disability // developmental delay"
chrX	21392536	21672813	CNKSR2	"developmental delay"
chr10	104678050	104849978	CNNM2	"intellectual disability"
chr7	145813453	148118090	CNTNAP2	"intellectual disability // developmental delay"
chr2	99215773	99224978	COA5	"developmental delay"
chr17	40713485	40718295	COASY	"developmental delay"
chr17	71189129	71204646	COG1	"developmental delay"
chr16	70514471	70557468	COG4	"developmental delay"
chr7	106842000	107204959	COG5	"developmental delay"
chr16	23399814	23464501	COG7	"developmental delay"
chr16	69354043	69373570	COG8	"developmental delay"
chr6	116440086	116479910	COL10A1	"developmental delay"
chr1	103342023	103574052	COL11A1	"developmental delay"
chr6	33130458	33160276	COL11A2	"developmental delay"
chr21	46825052	46933634	COL18A1	"intellectual disability // developmental delay"
chr17	48260650	48278993	COL1A1	"developmental delay"
chr12	48366748	48398269	COL2A1	"developmental delay"
chr2	189839046	189877472	COL3A1	"developmental delay"
chr13	110801318	110959496	COL4A1	"developmental delay"
chr13	110958159	111165374	COL4A2	"developmental delay"
chr2	228029281	228179508	COL4A3	"developmental delay"
chr5	74664311	74807963	COL4A3BP	"intellectual disability // developmental delay"
chr2	227867427	228028829	COL4A4	"developmental delay"
chr6	70924764	71012786	COL9A1	"developmental delay"
chr1	40766159	40783488	COL9A2	"developmental delay"
chr20	61447596	61472511	COL9A3	"developmental delay"
chr2	3642426	3692048	COLEC11	"developmental delay"
chr19	18893583	18902123	COMP	"developmental delay"
chr4	84182689	84206067	COQ2	"developmental delay"
chr12	120941077	120972237	COQ5	"intellectual disability // developmental delay"
chr16	57481337	57495187	COQ9	"developmental delay"
chr17	13972813	14111994	COX10	"intellectual disability // developmental delay"
chr12	50505762	50514240	COX14	"developmental delay"
chr10	101471601	101491857	COX15	"developmental delay"
chr19	36139125	36149763	COX6B1	"developmental delay"
chrX	77154935	77162870	COX7B	"developmental delay"
chr2	211342406	211543831	CPS1	"intellectual disability // developmental delay"
chr12	94071151	94288616	CRADD	"intellectual disability // developmental delay"
chr1	197170592	197447585	CRB1	"developmental delay"
chr3	3190676	3221394	CRBN	"intellectual disability // developmental delay"
chr16	3775055	3930727	CREBBP	"intellectual disability // developmental delay"
chr3	9975506	9987097	CRELD1	"developmental delay"
chr19	48322703	48346587	CRX	"developmental delay"
chr21	44589118	44592915	CRYAA	"developmental delay"
chr11	111779289	111794446	CRYAB	"developmental delay"
chr17	27573881	27581512	CRYBA1	"developmental delay"
chr22	27017928	27026636	CRYBA4	"developmental delay"
chr22	26995242	27014052	CRYBB1	"developmental delay"
chr22	25615489	25627836	CRYBB2	"developmental delay"
chr22	25595817	25603330	CRYBB3	"developmental delay"
chr2	208992861	208994554	CRYGC	"developmental delay"
chr2	208986331	208989225	CRYGD	"developmental delay"
chr8	67974661	68108498	CSPP1	"developmental delay"
chr3	122044091	122060819	CSTA	"developmental delay"
chr21	45192393	45196326	CSTB	"developmental delay"
chr17	8130191	8151362	CTC1	"developmental delay"
chr16	67596310	67673086	CTCF	"intellectual disability // developmental delay"
chr18	77439801	77514510	CTDP1	"developmental delay"
chr3	41236328	41301587	CTNNB1	"intellectual disability // developmental delay"
chr17	3539762	3564836	CTNS	"developmental delay"
chr20	44518783	44527459	CTSA	"intellectual disability // developmental delay"
chr11	1773982	1785222	CTSD	"developmental delay"
chr1	150768684	150780799	CTSK	"developmental delay"
chrX	119658464	119709649	CUL4B	"intellectual disability // developmental delay"
chr6	43005355	43021683	CUL7	"developmental delay"
chr12	111471828	111788358	CUX2	"intellectual disability"
chr22	43013846	43045574	CYB5R3	"developmental delay"
chr8	145149930	145152428	CYC1	"developmental delay"
chr2	38294116	38337044	CYP1B1	"developmental delay"
chr2	219646472	219680016	CYP27A1	"intellectual disability"
chr4	108852525	108874613	CYP2U1	"developmental delay"
chr3	49506146	49573048	DAG1	"developmental delay"
chr2	136664247	136743670	DARS	"developmental delay"
chr1	173793641	173827684	DARS2	"developmental delay"
chr1	100652475	100715390	DBT	"intellectual disability // developmental delay"
chr2	172290727	172341562	DCAF17	"developmental delay"
chr11	6642556	6677085	DCHS1	"developmental delay"
chrX	110537007	110655603	DCX	"intellectual disability // developmental delay"
chr11	47236493	47260767	DDB2	"developmental delay"
chr7	50526134	50633154	DDC	"developmental delay"
chr14	53510686	53620000	DDHD1	"developmental delay"
chr8	38082736	38133076	DDHD2	"developmental delay"
chr1	20978270	20988000	DDOST	"developmental delay"
chr1	162601163	162757190	DDR2	"developmental delay"
chr12	31226779	31257725	DDX11	"developmental delay"
chrX	41192651	41223725	DDX3X	"developmental delay"
chr1	200593024	200639097	DDX59	"developmental delay"
chr11	644233	706715	DEAF1	"intellectual disability // developmental delay"
chr22	32149944	32303012	DEPDC5	"developmental delay"
chr7	24737972	24809244	DFNA5	"developmental delay"
chr2	179316163	179326117	DFNB59	"developmental delay"
chr8	145539954	145550573	DGAT1	"developmental delay"
chr1	55315306	55352891	DHCR24	"developmental delay"
chr11	71139239	71163914	DHCR7	"intellectual disability // developmental delay"
chr5	79922047	79950802	DHFR	"developmental delay"
chr16	72042487	72058954	DHODH	"developmental delay"
chr10	12110971	12165224	DHTKD1	"developmental delay"
chr12	50898768	51142450	DIP2B	"intellectual disability // developmental delay"
chr2	232825955	233209060	DIS3L2	"developmental delay"
chrX	153991031	154005964	DKC1	"intellectual disability // developmental delay"
chr11	111895538	111935114	DLAT	"developmental delay"
chr7	107531415	107572175	DLD	"intellectual disability // developmental delay"
chrX	69664711	69725337	DLG3	"intellectual disability // developmental delay"
chr19	39989535	39999121	DLL3	"developmental delay"
chr7	96649704	96654409	DLX5	"developmental delay"
chrX	31115794	33357558	DMD	"intellectual disability // developmental delay"
chr4	88571459	88585513	DMP1	"developmental delay"
chr19	46272975	46285810	DMPK	"developmental delay"
chr10	70173821	70231879	DNA2	"developmental delay"
chr19	55670031	55678090	DNAAF3	"developmental delay"
chr9	130965658	131017527	DNM1	"developmental delay"
chr2	25455845	25565459	DNMT3A	"developmental delay"
chr20	31350191	31397162	DNMT3B	"intellectual disability // developmental delay"
chr19	11309971	11373157	DOCK6	"developmental delay"
chr1	62920399	63153969	DOCK7	"developmental delay"
chr9	214854	465259	DOCK8	"intellectual disability // developmental delay"
chr9	131707809	131709898	DOLK	"developmental delay"
chr11	118967213	118979041	DPAGT1	"intellectual disability // developmental delay"
chr20	49551404	49575092	DPM1	"intellectual disability // developmental delay"
chr1	155112367	155113071	DPM3	"developmental delay"
chr7	153584182	154685995	DPP6	"intellectual disability"
chr1	97543299	98386605	DPYD	"intellectual disability"
chr8	105342552	105479281	DPYS	"intellectual disability"
chr2	26624784	26679579	DRC1	"developmental delay"
chr18	28898052	28936992	DSG1	"developmental delay"
chr4	88529681	88538062	DSPP	"developmental delay"
chr1	205111632	205180727	DSTYK	"developmental delay"
chr15	45384848	45406542	DUOX2	"intellectual disability"
chr18	46570039	46987717	DYM	"developmental delay"
chr14	102430865	102517129	DYNC1H1	"intellectual disability // developmental delay"
chr11	102980160	103350591	DYNC2H1	"developmental delay"
chr21	38738092	38889753	DYRK1A	"intellectual disability // developmental delay"
chr15	55702723	55800432	DYX1C1	"developmental delay"
chrX	48379546	48387104	EBP	"developmental delay"
chr2	233344537	233352538	ECEL1	"developmental delay"
chrX	68835911	69259319	EDA	"developmental delay"
chr6	12290596	12297427	EDN1	"developmental delay"
chr13	78469616	78493903	EDNRB	"developmental delay"
chr20	62119366	62130505	EEF1A2	"intellectual disability // developmental delay"
chr2	207024309	207027652	EEF1B2	"intellectual disability // developmental delay"
chrX	44007128	44202918	EFHC2	"intellectual disability"
chrX	68048840	68061990	EFNB1	"developmental delay"
chr17	42927311	42977030	EFTUD2	"developmental delay"
chr9	140513444	140764468	EHMT1	"intellectual disability // developmental delay"
chr2	88856259	88927094	EIF2AK3	"intellectual disability // developmental delay"
chr17	78109013	78120982	EIF4A3	"developmental delay"
chr17	12895708	12921504	ELAC2	"developmental delay"
chr7	73442119	73484237	ELN	"developmental delay"
chr6	80624529	80657297	ELOVL4	"intellectual disability // developmental delay"
chr18	33709407	33757909	ELP2	"intellectual disability // developmental delay"
chr10	119301955	119309056	EMX2	"intellectual disability // developmental delay"
chr6	132129156	132216295	ENPP1	"developmental delay"
chr10	97471536	97637023	ENTPD1	"intellectual disability // developmental delay"
chr3	69024365	69063112	EOGT	"developmental delay"
chr3	27757440	27764206	EOMES	"developmental delay"
chr22	41487790	41576081	EP300	"intellectual disability // developmental delay"
chr18	43427574	43547240	EPG5	"developmental delay"
chr12	56473641	56497289	ERBB3	"developmental delay"
chr19	45910591	45982086	ERCC1	"developmental delay"
chr19	45853095	45874176	ERCC2	"intellectual disability // developmental delay"
chr2	128014866	128051752	ERCC3	"intellectual disability // developmental delay"
chr16	14014014	14046202	ERCC4	"developmental delay"
chr13	103497194	103528345	ERCC5	"intellectual disability // developmental delay"
chr10	50663414	50747584	ERCC6	"intellectual disability // developmental delay"
chr9	98637983	98776842	ERCC6L2	"developmental delay"
chr5	60169658	60240900	ERCC8	"intellectual disability // developmental delay"
chr19	42751724	42759309	ERF	"developmental delay"
chr8	37594117	37616619	ERLIN2	"intellectual disability // developmental delay"
chr6	170151718	170181680	ERMARD	"developmental delay"
chr8	27629466	27670157	ESCO2	"developmental delay"
chr1	6484848	6521430	ESPN	"developmental delay"
chr14	76776957	76968178	ESRRB	"developmental delay"
chr15	76507696	76603813	ETFA	"developmental delay"
chr19	51848423	51869672	ETFB	"developmental delay"
chr4	159593277	159630775	ETFDH	"developmental delay"
chr19	44010871	44031396	ETHE1	"developmental delay"
chr4	5712924	5830772	EVC	"developmental delay"
chr4	5544499	5711275	EVC2	"developmental delay"
chr9	37766975	37801434	EXOSC3	"developmental delay"
chr11	108376158	108464465	EXPH5	"developmental delay"
chr8	118806729	119124092	EXT1	"developmental delay"
chr11	44117099	44266979	EXT2	"developmental delay"
chr8	72109668	72274467	EYA1	"developmental delay"
chr6	133561736	133853258	EYA4	"developmental delay"
chr7	148504475	148581413	EZH2	"developmental delay"
chr15	80444832	80479288	FAH	"developmental delay"
chr11	58910221	58922512	FAM111A	"developmental delay"
chr7	22980878	23053749	FAM126A	"intellectual disability // developmental delay"
chr5	16473147	16617167	FAM134B	"developmental delay"
chr2	62051989	62081278	FAM161A	"developmental delay"
chr17	66531254	66597530	FAM20A	"developmental delay"
chr7	192969	300711	FAM20C	"developmental delay"
chrX	152853377	152865500	FAM58A	"developmental delay"
chr16	89803957	89883065	FANCA	"intellectual disability // developmental delay"
chrX	14861529	14891191	FANCB	"intellectual disability // developmental delay"
chr9	97861336	98079991	FANCC	"intellectual disability // developmental delay"
chr3	10068098	10143614	FANCD2	"developmental delay"
chr6	35420138	35434880	FANCE	"developmental delay"
chr11	22644079	22647387	FANCF	"developmental delay"
chr9	35073832	35080013	FANCG	"developmental delay"
chr15	89787180	89860492	FANCI	"developmental delay"
chr2	58386378	58468507	FANCL	"developmental delay"
chr14	45605143	45670093	FANCM	"developmental delay"
chr11	13690217	13753893	FAR1	"developmental delay"
chr17	80036214	80056208	FASN	"intellectual disability // developmental delay"
chr4	126237554	126414087	FAT4	"developmental delay"
chr15	48700503	48938046	FBN1	"intellectual disability // developmental delay"
chr5	127593601	127994878	FBN2	"developmental delay"
chr9	97365415	97402531	FBP1	"developmental delay"
chr6	99316420	99395849	FBXL4	"developmental delay"
chr8	356428	421225	FBXO25	"developmental delay"
chr10	103370423	103455052	FBXW4	"developmental delay"
chr7	121941448	121950745	FEZF1	"developmental delay"
chrX	54471887	54522599	FGD1	"intellectual disability // developmental delay"
chr5	44303646	44389808	FGF10	"developmental delay"
chr11	69624992	69633792	FGF3	"developmental delay"
chr13	22245522	22278637	FGF9	"developmental delay"
chr8	38268656	38326352	FGFR1	"intellectual disability // developmental delay"
chr10	123237848	123357972	FGFR2	"intellectual disability // developmental delay"
chr4	1795034	1810599	FGFR3	"intellectual disability // developmental delay"
chr1	241660903	241683061	FH	"intellectual disability // developmental delay"
chrX	135229559	135293518	FHL1	"developmental delay"
chr6	110012499	110146631	FIG4	"developmental delay"
